SOC_CODE,SOC_AVG_PROC,SOC_APP_COUNT
27-4014.00,8.5,2
27-4032.00,7.36,11
29-1011.00,13.6,5
29-1021,8.0,2
29-1021.00,10.68,136
29-1023.00,12.4,5
29-1024.00,7.0,1
29-1029.00,6.71,14
29-1031.00,14.5,20
29-1041.00,11.75,8
29-1051.00,10.06,35
29-1071.00,13.5,12
29-1071.01,8.0,3
29-1081.00,7.0,1
29-1122.00,7.25,268
29-1123.00,8.47,311
29-1124.00,7.0,1
29-1125.00,8.0,1
29-1126.00,10.0,1
29-1127.00,9.28,65
29-1128.00,13.38,16
29-1129.01,15.75,4
29-1129.02,8.5,6
29-1131,6.75,4
29-1131.00,13.24,49
29-1141,23.5,2
29-1141.00,13.46,181
29-1141.01,12.29,7
29-1141.03,13.95,19
29-1141.04,6.67,3
29-1151.00,7.0,1
29-1171.00,14.86,14
29-1181.00,7.0,1
29-1211,10.0,1
29-1211.00,10.44,25
29-1212,7.5,2
29-1212.00,11.14,51
29-1214.00,7.38,8
29-1215.00,13.42,52
29-1216,7.0,1
29-1216.00,10.91,99
29-1217.00,7.58,31
29-1218.00,8.12,8
29-1221.00,13.02,51
29-1222,9.0,1
29-1222.00,11.94,16
29-1223.00,13.83,30
29-1224.00,13.56,45
29-1229,8.4,10
29-1229.00,11.63,230
29-1229.01,8.0,2
29-1229.02,9.78,135
29-1229.03,7.33,6
29-1229.04,10.0,1
29-1229.05,8.0,2
29-1229.06,23.5,2
29-1241.00,8.5,2
29-1242.00,5.67,3
29-1249,7.75,4
29-1249.00,14.49,45
29-1291.00,7.5,2
29-1299.00,12.86,7
29-2011.00,11.52,435
29-2011.01,8.5,2
29-2011.04,11.88,8
29-2012.00,7.25,4
29-2036.00,8.0,2
29-2043.00,7.35,23
29-2056.00,8.0,1
29-2091.00,14.6,5
29-9091.00,7.22,9
29-9092.00,11.62,8
29-9099.00,8.64,11
31-1121.00,1.0,1
31-1122.00,1.0,1
31-2011.00,1.0,1
31-9094.00,6.0,1
31-9099.00,8.0,1
31-9099.01,7.4,5
33-3021.06,9.33,3
33-9092.00,11.0,1
35-1011.00,13.4,5
35-2014.00,10.0,1
37-1012.00,8.0,5
39-3091.00,38.0,1
39-9031.00,1.0,1
39-9032.00,5.0,1
41-2022.00,4.0,2
41-3011.00,6.33,3
41-3031.00,12.13,23
41-3091.00,9.75,8
41-4011,7.0,1
41-4011.00,11.24,17
41-4012.00,6.86,7
41-9031,23.0,2
41-9031.00,10.77,358
41-9099.00,6.0,4
43-3031.00,10.33,6
43-4051.00,7.5,2
43-4161.00,10.0,1
43-5061.00,5.0,3
43-6011.00,18.33,3
43-9031.00,8.0,1
43-9111.00,11.44,9
45-1011.00,7.0,1
45-2011.00,8.0,31
45-2099.00,4.5,2
49-1011.00,7.0,1
49-2021.00,34.0,2
49-3011.00,8.78,18
49-3021.00,38.0,1
49-3023.00,5.0,2
49-9041.00,1.0,1
49-9063.00,10.0,1
51-1011.00,40.0,1
51-2011.00,7.0,1
51-3011.00,7.0,1
51-4041.00,7.0,1
51-5111.00,1.0,1
51-6099.00,7.0,1
51-8099.00,7.0,1
51-9161.00,7.0,1
51-9199.00,4.5,2
53-2011,8.0,1
53-2011.00,16.3,33
53-2012.00,7.2,5
53-3032.00,2.0,1
53-6051.00,10.0,1
